SR NO,PLATFORM TYPE,GROUP NAME,Currency,PROFILE,PROFILE CLONE,COMMISION,RT,FINAL,SWAP
1,CFC,16,USD,P1,P1,C1,50,P1C1,S1
2,GFG,16_A,USD,P1,P3,C1,50,P1C1,S1
3,TU,19,USD,P47,P1,C3,30,P47C3,S1
4,TUN,21,USD,P1,P3,C2,40,P1C2,S1
5,TU,25,USD,P1,P2,C3,30,P1C3,S1
6,TU,29,USD,P1,P2,C4,20,P1C4,S1
7,TU,31,USD,P3,P1,C4,20,P3C4,S1
8,TU,33,USD,P1,P2,C5,10,P1C5,S1
9,TU,35,USD,P3,,C5,10,P3C5,S1
10,TU,37,USD,P4,P1,C6,5,P1C6,S1
11,TU,37_A,USD,P5,P3,C6,5,P1C6,S1
12,,50,USD,P9,P2,C15,50,P9C15,S1
13,TU,51,USD,P4,P2,C7,$1/Trade,P4C7,S1
14,TU,52,USD,P5,P1,C7,$1/Trade,P5C7,S1
15,TU,53,USD,P6,P3,C7,$1/Trade,P6C7,S1
16,TU,54,USD,P7,P2,C7,$1/Trade,P7C7,S1
17,TU,55,USD,P8,P1,C7,$1/Trade,P8C7,S1
18,TU,56,USD,P9,P3,C7,$1/Trade,P9C7,S1
19,TU,56_A,USD,P9,P2,C7,$1/Trade,P9C7,S1
20,TU,58,USD,P1,P3,C1,50,P1C13,S1
21,TU,60,USD,P7,P2,C15,50,P1C15,S1
22,TU,62,USD,P2,P3,C15,50,P2C15,S1
23,TU,64,USD,P3,P1,C15,50,P3C15,S1
24,TU,64_A,USD,P3,P1,C15,50,P3C15,S1
25,TU,71,USD,P1,P3,C18,30,P1C18,S1
26,TU,77,USD,P13,P2,C77,20,P13C77,S1
27,TU,89,USD,P1,P1,C25,5,P1C25,S1
28,TU,95,USD,P1,P3,C26,200,P1C26,S1
29,TU,102,USD,P2,P1,C7,$1/Trade,P2C7,S1
30,TU,103,USD,P1,P3,C7,$1/Trade,P1C7,S1
31,TU,104,USD,P3,P2,C27,100,P3C27,S1
