SR NO,GROUP,SYMBOL,DESCRIPTION,LP,DIGITS,Benchmark,Core Spread,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P51,P52,P53,P54,P55,P56,P57,P59,P60,P62,P63,P64,P65,P66,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103
1,ForexMajors,AUDUSD, Australian Dollar vs United States Dollar,CMC,5,0.00005,0.00003,0.00004,0.00006,0.00008,0.00023,0.00033,0.00043,0.00053,0.00063,0.00113,0.00023,0.00113,0.00063,0.00004,0.00033,0.00023,0.00226,0.00023,0.00008,0.00023,0.00043,0.00043,0.00023,0.00113,0.00113,0.00033,0.00013,0.00033,0.00063,0.00043,0.00033,0.00063,0.00004,0.00023,0.00063,0.00033,0.00033,0.00063,0.00023,0.00053,0.00053,0.00008,0.00023,0.00043,0.00006,0.00023,0.00053,0.00043,0.00004,0.00063,0.00006,0.00113,0.00043,0.00033,0.00008,0.00008,0.00033,0.00043,0.00023,0.00033,0.00043,0.00033,0.00033,0.00023,0.00033,0.00113,0.00043,0.00008,0.00043,0.00033,0.00004,0.00113,0.00023,0.00033,0.00043,0.00113,0.00004,0.00023,0.00023,0.00023,0.00023,0.00023,0.00033,0.00023,0.00012,0.00053,0.00043,0.00113,0.00008,0.00008,0.00033,0.00023,0.00043,0.00033,0.00023,0.00023
2,ForexMajors,AUDUSD, Euro vs Swiss Franc,CMC,5,0.00019,0.00019,0.00019,0.00022,0.00026,0.00055,0.00065,0.00075,0.00085,0.00095,0.00144,0.00055,0.00144,0.00095,0.00019,0.00065,0.00055,0.00288,0.00055,0.00026,0.00055,0.00075,0.00075,0.00055,0.00144,0.00144,0.00065,0.00055,0.00065,0.00095,0.00075,0.00065,0.00095,0.00019,0.00055,0.00095,0.00065,0.00065,0.00095,0.00055,0.00085,0.00085,0.00026,0.00055,0.00075,0.00022,0.00055,0.00085,0.00075,0.00019,0.00095,0.00022,0.00144,0.00075,0.00065,0.00026,0.00026,0.00065,0.00075,0.00055,0.00065,0.00075,0.00065,0.00065,0.00055,0.00065,0.00144,0.00075,0.00026,0.00075,0.00065,0.00019,0.00144,0.00055,0.00065,0.00075,0.00144,0.00019,0.00055,0.00055,0.00055,0.00055,0.00055,0.00065,0.00055,0.00065,0.00085,0.00075,0.00144,0.00026,0.00026,0.00065,0.00055,0.00075,0.00065,0.00055,0.00055
3,ForexMajors,, Euro vs British Pound Sterling,CMC,5,0.00006,0.00006,0.00006,0.00008,0.0001,0.00029,0.00039,0.00049,0.00059,0.00069,0.00119,0.00029,0.00119,0.00069,0.00006,0.00039,0.00029,0.00238,0.00029,0.0001,0.00029,0.00049,0.00049,0.00029,0.00119,0.00119,0.00039,0.00029,0.00039,0.00069,0.00049,0.00039,0.00069,0.00006,0.00029,0.00069,0.00039,0.00039,0.00069,0.00029,0.00059,0.00059,0.0001,0.00029,0.00049,0.00008,0.00029,0.00059,0.00049,0.00006,0.00069,0.00008,0.00119,0.00049,0.00039,0.0001,0.0001,0.00039,0.00049,0.00029,0.00039,0.00049,0.00039,0.00039,0.00029,0.00039,0.00119,0.00049,0.0001,0.00049,0.00039,0.00006,0.00119,0.00029,0.00039,0.00049,0.00119,0.00006,0.00029,0.00029,0.00029,0.00029,0.00029,0.00039,0.00029,0.00039,0.00059,0.00049,0.00119,0.0001,0.0001,0.00039,0.00029,0.00049,0.00039,0.00029,0.00029
4,ForexMajors,EURJPY, Euro vs Japanese Yen,CMC,3,0.012,0.012,0.012,0.013,0.014,0.048,0.06,0.073,0.085,0.098,0.16,0.048,0.16,0.098,0.012,0.06,0.048,0.32,0.048,0.014,0.048,0.073,0.073,0.048,0.16,0.16,0.06,0.048,0.06,0.098,0.073,0.06,0.098,0.012,0.048,0.098,0.06,0.06,0.098,0.048,0.085,0.085,0.014,0.048,0.073,0.013,0.048,0.085,0.073,0.012,0.098,0.013,0.16,0.073,0.06,0.014,0.014,0.06,0.073,0.048,0.06,0.073,0.06,0.06,0.048,0.06,0.16,0.073,0.014,0.073,0.06,0.012,0.16,0.048,0.06,0.073,0.16,0.012,0.048,0.048,0.048,0.048,0.048,0.06,0.048,0.06,0.085,0.073,0.16,0.014,0.014,0.06,0.048,0.073,0.06,0.048,0.048
5,ForexMajors,EURUSD, Euro vs United States Dollar,CMC,5,0.00002,0.00002,0.00002,0.00004,0.00006,0.00025,0.00035,0.00045,0.00055,0.00065,0.00114,0.00025,0.00114,0.00065,0.00002,0.00035,0.00025,0.00228,0.00015,0.00006,0.00015,0.00045,0.00045,0.00025,0.00114,0.00114,0.00035,0.00015,0.00035,0.00065,0.00045,0.00035,0.00065,0.00002,0.00025,0.00065,0.00035,0.00035,0.00065,0.00025,0.00055,0.00055,0.00006,0.00025,0.00045,0.00004,0.00003,0.00055,0.00045,0.00002,0.00065,0.00004,0.00114,0.00045,0.00035,0.00012,0.00006,0.00035,0.00045,0.00025,0.00025,0.00045,0.00035,0.00035,0.00025,0.00035,0.00114,0.00045,0.00006,0.00045,0.00035,0.00002,0.00114,0.00025,0.00035,0.00045,0.00114,0.00002,0.00025,0.00018,0.00025,0.00025,0.00025,0.00035,0.00025,0.00015,0.00055,0.00045,0.00114,0.00006,0.00006,0.00035,0.00025,0.00045,0.00035,0.00025,0.00025
6,ForexMajors,EURUSD_DEC23, EURUSD Sep 2023 - Expiry: 15th Dec 2023 at 14:16 GMT,CMC,5,0.00015,0.00015,0.00017,0.00019,0.00021,0.00038,0.00048,0.00058,0.00068,0.00078,0.00127,0.00038,0.00127,0.00078,0.00017,0.00048,0.00038,0.00254,0.00038,0.00021,0.00038,0.00058,0.00058,0.00038,0.00127,0.00127,0.00048,0.00038,0.00048,0.0004,0.00058,0.00048,0.00078,0.00017,0.00038,0.00078,0.00048,0.00048,0.00078,0.00038,0.00068,0.00068,0.00021,0.00038,0.00058,0.00019,0.00038,0.00068,0.00058,0.00017,0.00078,0.00019,0.00127,0.00058,0.00048,0.00021,0.00021,0.00048,0.00058,0.00038,0.00048,0.00058,0.00048,0.00048,0.00038,0.00048,0.00127,0.00058,0.00021,0.00058,0.00048,0.00017,0.00127,0.00038,0.00048,0.00058,0.00127,0.00017,0.00038,0.00038,0.00038,0.00038,0.00038,0.00048,0.00038,0.00048,0.00068,0.00058,0.00127,0.00021,0.00021,0.00048,0.00038,0.00058,0.00048,0.00038,0.00038
7,ForexMajors,EURUSD_MAR24, EURUSD Mar 2024 - Expiry: 15th Mar 2024 at 14:16 GMT,CMC,5,0.00015,0.00015,0.00017,0.00019,0.00021,0.00038,0.00048,0.00058,0.00068,0.00078,0.00127,0.00038,0.00127,0.00078,0.00017,0.00048,0.00038,0.00254,0.00038,0.00021,0.00038,0.00058,0.00058,0.00038,0.00127,0.00127,0.00048,0.00038,0.00048,0.0004,0.00058,0.00048,0.00078,0.00017,0.00038,0.00078,0.00048,0.00048,0.00078,0.00038,0.00068,0.00068,0.00021,0.00038,0.00058,0.00019,0.00038,0.00068,0.00058,0.00017,0.00078,0.00019,0.00127,0.00058,0.00048,0.00021,0.00021,0.00048,0.00058,0.00038,0.00048,0.00058,0.00048,0.00048,0.00038,0.00048,0.00127,0.00058,0.00021,0.00058,0.00048,0.00017,0.00127,0.00038,0.00048,0.00058,0.00127,0.00017,0.00038,0.00038,0.00038,0.00038,0.00038,0.00048,0.00038,0.00048,0.00068,0.00058,0.00127,0.00021,0.00021,0.00048,0.00038,0.00058,0.00048,0.00038,0.00038
8,ForexMajors,EURUSD_SEP23, EURUSD Sep 2023 - Expiry: 15th Sep 2023 at 14:16 GMT,CMC,5,0.00015,0.00015,0.00017,0.00019,0.00021,0.00038,0.00048,0.00058,0.00068,0.00078,0.00127,0.00038,0.00127,0.00078,0.00017,0.00048,0.00038,0.00254,0.00038,0.00021,0.00038,0.00058,0.00058,0.00038,0.00127,0.00127,0.00048,0.00038,0.00048,0.0004,0.00058,0.00048,0.00078,0.00017,0.00038,0.00078,0.00048,0.00048,0.00078,0.00038,0.00068,0.00068,0.00021,0.00038,0.00058,0.00019,0.00038,0.00068,0.00058,0.00017,0.00078,0.00019,0.00127,0.00058,0.00048,0.00021,0.00021,0.00048,0.00058,0.00038,0.00048,0.00058,0.00048,0.00048,0.00038,0.00048,0.00127,0.00058,0.00021,0.00058,0.00048,0.00017,0.00127,0.00038,0.00048,0.00058,0.00127,0.00017,0.00038,0.00038,0.00038,0.00038,0.00038,0.00048,0.00038,0.00048,0.00068,0.00058,0.00127,0.00021,0.00021,0.00048,0.00038,0.00058,0.00048,0.00038,0.00038
9,ForexMajors,GBPUSD, Sterling Pound vs United States Dollar,CMC,5,0.00006,0.00006,0.00006,0.00008,0.0001,0.00031,0.00041,0.00051,0.00061,0.00071,0.00119,0.00031,0.00119,0.00071,0.00006,0.00041,0.00031,0.00238,0.00031,0.0001,0.00031,0.00051,0.00051,0.00031,0.00119,0.00119,0.00041,0.00021,0.00041,0.00071,0.00051,0.00041,0.00071,0.00006,0.00031,0.00071,0.00041,0.00041,0.00071,0.00031,0.00061,0.00061,0.0001,0.00031,0.00051,0.00008,0.00008,0.00061,0.00051,0.00006,0.00071,0.00008,0.00119,0.00051,0.00041,0.0001,0.0001,0.00041,0.00051,0.00031,0.00041,0.00051,0.00041,0.00041,0.00031,0.00041,0.00119,0.00051,0.0001,0.00051,0.00041,0.00006,0.00119,0.00031,0.00041,0.00051,0.00119,0.00006,0.00031,0.00031,0.00031,0.00031,0.00031,0.00041,0.00031,0.00021,0.00061,0.00051,0.00119,0.0001,0.0001,0.00041,0.00031,0.00051,0.00041,0.00031,0.00031
10,ForexMajors,NZDUSD, New Zealand Dollar vs United States Dollar,CMC,5,0.00012,0.00012,0.00012,0.00014,0.00016,0.00041,0.00051,0.00061,0.00071,0.00081,0.00131,0.00041,0.00131,0.00081,0.00012,0.00051,0.00041,0.00262,0.00041,0.00016,0.00041,0.00061,0.00061,0.00041,0.00131,0.00131,0.00051,0.00041,0.00051,0.00081,0.00061,0.00051,0.00081,0.00012,0.00041,0.00081,0.00051,0.00051,0.00081,0.00041,0.00071,0.00071,0.00016,0.00041,0.00061,0.00014,0.00041,0.00071,0.00061,0.00012,0.00081,0.00014,0.00131,0.00061,0.00051,0.00016,0.00016,0.00051,0.00061,0.00041,0.00051,0.00061,0.00051,0.00051,0.00041,0.00051,0.00131,0.00061,0.00016,0.00061,0.00051,0.00012,0.00131,0.00041,0.00051,0.00061,0.00131,0.00012,0.00041,0.00041,0.00041,0.00041,0.00041,0.00051,0.00041,0.00051,0.00016,0.00061,0.00131,0.00016,0.00016,0.00051,0.00041,0.00061,0.00051,0.00041,0.00041
